trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,176.33107219999874,176.33107219999874,177.34547609999936,178.3299005000008,None,178.3299005000008,178.3299005000008,1,299.91510000036214,space,0.29991510000036214,178.66220560000147,179.16702129999976,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,179.16702129999976,179.16702129999976,179.16702129999976,180.19679309999992,None,180.19679309999992,180.19679309999992,1,312.2680999986187,space,0.3122680999986187,180.56038329999865,181.07952859999932,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,181.07952859999932,181.07952859999932,181.07952859999932,182.09620670000004,None,182.09620670000004,182.09620670000004,1,285.07019999960903,space,0.28507019999960903,182.41278700000112,182.91326870000194,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,182.91326870000194,182.91326870000194,182.91326870000194,183.92754820000118,None,183.92754820000118,183.92754820000118,1,301.88840000118944,space,0.30188840000118944,184.26136540000152,184.78031360000023,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,184.78031360000023,184.78031360000023,185.78358669999943,186.7964823000002,None,186.7964823000002,186.7964823000002,1,289.13480000119307,space,0.28913480000119307,187.1276512000004,187.63141710000127,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,187.63141710000127,187.63141710000127,187.63141710000127,188.6625638000005,None,188.6625638000005,188.6625638000005,1,319.5211999991443,space,0.3195211999991443,189.10022350000145,189.61244609999994,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,189.61244609999994,189.61244609999994,190.6159938000019,191.61444539999866,None,191.61444539999866,191.61444539999866,1,295.5155999989074,space,0.2955155999989074,191.94357990000208,192.4622703999994,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,192.4622703999994,192.4622703999994,194.4819294000008,195.47816859999875,None,195.47816859999875,195.47816859999875,1,335.125199999311,space,0.335125199999311,195.84438030000092,196.34679239999969,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,196.34679239999969,196.34679239999969,199.3466625000001,200.34930560000066,None,200.34930560000066,200.34930560000066,1,257.49480000013136,space,0.25749480000013136,200.63228720000188,201.14724980000028,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,201.14724980000028,201.14724980000028,204.18390670000008,,None,,,0,nan,None,,209.39780529999916,209.92613039999924,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,209.92613039999924,209.92613039999924,210.93152539999937,211.98159360000136,None,211.98159360000136,211.98159360000136,1,375.99649999901885,space,0.37599649999901885,212.40923470000052,212.91376560000208,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.91376560000208,212.91376560000208,space,28.671283299998322,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.73376439999993,241.73376439999993,num_4,3.6156313000028604,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.7252554000006,245.7252554000006,num_7,2.5298314000028768,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.69534900000144,248.69534900000144,num_0,1.4870674000012514,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.7135691000003,250.7135691000003,num_5,12.571958100001211,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.69087990000116,263.69087990000116,num_1,3.333064500002365,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.42431959999885,267.42431959999885,num_6,8.573517400000128,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.40875790000064,276.40875790000064,num_1,2.2135127000037755,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.02288319999934,279.02288319999934,num_9,2.303600799998094,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.7567053999992,281.7567053999992,num_4,6.049224599999434,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.22650649999923,288.22650649999923,num_0,2.195521200002986,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.8569905000004,290.8569905000004,num_1,3.541458200001216,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.7910359999987,294.7910359999987,num_7,5.534961100001965,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.68932190000123,300.68932190000123,num_9,2.0367580999991333,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.107295400001,303.107295400001,num_3,1.6361018999996304,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.2256161000005,305.2256161000005,num_9,5.71719099999973,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.3402500000011,311.3402500000011,num_2,2.633964800003014,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.3720347999988,314.3720347999988,num_6,1.1552880999988702,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.9065692000004,315.9065692000004,num_7,2.70800650000092,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.1093734999995,319.1093734999995,num_9,2.0012686000009126,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.4704625000013,321.4704625000013,num_0,1.5756627000009757,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.43839930000104,323.43839930000104,num_1,5.6401122999996005,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.4532870000003,329.4532870000003,num_5,2.0995937999978196,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.9709857000016,331.9709857000016,num_8,3.6438280000038503,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.1248196999986,336.1248196999986,num_7,2.0580774000009114,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
