trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.7771154000075,1994.7771154000075,num_1,1.8631355999968946,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0099546000129,1997.0099546000129,num_8,3.8775327000184916,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.260135199991,2001.260135199991,num_0,1.229594599979464,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.860447300016,2002.860447300016,num_7,2.0035808000247926,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.2265175000066,2005.2265175000066,num_6,1.8771881999564357,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007.4436892999802,2007.4436892999802,num_9,1.5161682000034489,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.3430645999615,2009.3430645999615,num_5,2.2645590000320226,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.9759254999808,2011.9759254999808,num_8,5.799677899980452,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.1428936999873,2018.1428936999873,num_0,1.7292606999981217,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.2425582999713,2020.2425582999713,num_5,2.6456726000178605,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
