trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,3,182.9115530999843,182.9115530999843,184.92579149996163,185.92678139999043,None,185.92678139999043,185.92678139999043,1,303.6199000198394,space,0.3036199000198394,186.27404439996462,186.7764482999919,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,1,186.7764482999919,186.7764482999919,186.7764482999919,187.77581329998793,None,187.77581329998793,187.77581329998793,1,303.72110003372654,space,0.30372110003372654,188.123460599978,188.62537299998803,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,1,188.62537299998803,188.62537299998803,188.62537299998803,189.62736210000003,None,189.62736210000003,189.62736210000003,1,267.22939999308437,space,0.26722939999308437,189.9240645999671,190.42672079999465,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,3,190.42672079999465,190.42672079999465,192.44222629995784,193.4256205999991,None,193.4256205999991,193.4256205999991,1,285.0861000479199,space,0.2850861000479199,193.73995899996953,194.24372319999384,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,4,194.24372319999384,194.24372319999384,,,None,,,0,nan,None,,201.32547489996068,201.83908859995427,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,1,201.83908859995427,201.83908859995427,201.83908859995427,,None,,,0,nan,None,,206.8253812000039,207.34004280000227,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,2,207.34004280000227,207.34004280000227,,,None,,,0,nan,None,,212.32480299996678,212.84179370000493,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,3,212.84179370000493,212.84179370000493,,,None,,,0,nan,None,,217.8243159999838,218.32442019996233,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,2,218.32442019996233,218.32442019996233,219.3253182999906,220.32483229995705,None,220.32483229995705,220.32483229995705,1,377.5552999577485,space,0.3775552999577485,220.73947999998927,221.2427522999933,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,3,221.2427522999933,221.2427522999933,223.25818050000817,224.25769259996014,None,224.25769259996014,224.25769259996014,1,308.6201000260189,space,0.3086201000260189,224.5913120000041,225.09196809999412,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,4,225.09196809999412,225.09196809999412,228.08994350000285,229.10438789997716,None,229.10438789997716,229.10438789997716,1,302.1458000293933,space,0.3021458000293933,229.42392869998002,229.9263946999563,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
