trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1343.9148545999778,1343.9148545999778,1345.9293531999574,1346.94355669996,None,1346.94355669996,1346.94355669996,1,342.28110004914925,space,0.34228110004914925,1347.3107649000012,1347.8125112999696,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1347.8125112999696,1347.8125112999696,1350.8129252999788,1351.8135338999564,None,1351.8135338999564,1351.8135338999564,1,336.31669997703284,space,0.33631669997703284,1352.1795917999698,1352.6797474999912,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1352.6797474999912,1352.6797474999912,1354.6955237999791,1355.6953948999871,None,1355.6953948999871,1355.6953948999871,1,357.90799994720146,space,0.35790799994720146,1356.0930819999776,1356.5955538999988,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1356.5955538999988,1356.5955538999988,1358.595705499989,1359.5961277000024,None,1359.5961277000024,1359.5961277000024,1,353.2816999941133,space,0.3532816999941133,1359.9931291000103,1360.4950841999962,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1360.4950841999962,1360.4950841999962,1361.4961822999758,1362.496039699996,None,1362.496039699996,1362.496039699996,1,390.26539999758825,space,0.39026539999758825,1362.9267578999861,1363.4287938000052,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1363.4287938000052,1363.4287938000052,1365.430594299978,1366.4288380999933,None,1366.4288380999933,1366.4288380999933,1,360.7672999496572,space,0.36076729994965717,1366.8135485000093,1367.3145394999883,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1367.3145394999883,1367.3145394999883,1367.3145394999883,1368.3118787999847,None,1368.3118787999847,1368.3118787999847,1,638.155100052245,space,0.638155100052245,1368.9762809000094,1369.478126699978,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1369.478126699978,1369.478126699978,1369.478126699978,1370.4799143999699,None,1370.4799143999699,1370.4799143999699,1,397.95949996914715,space,0.39795949996914715,1370.9086598999565,1371.4122675000108,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1371.4122675000108,1371.4122675000108,1372.4122526999563,1373.4257301999605,None,1373.4257301999605,1373.4257301999605,1,331.6173999919556,space,0.3316173999919556,1373.7926251000026,1374.2969722999842,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1374.2969722999842,1374.2969722999842,1374.2969722999842,1375.3131862999871,None,1375.3131862999871,1375.3131862999871,1,396.5298999683,space,0.3965298999683,1375.742944800004,1376.2496618999867,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
