trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,1,85.34012069998425,85.34012069998425,85.34012069998425,86.35574229998747,None,86.35574229998747,86.35574229998747,1,263.45840000431053,space,0.26345840000431053,86.63886529998854,87.13835009999457,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
9,0,9,0,,,,,,,,,,,,,,,4,87.13835009999457,87.13835009999457,,,None,,,0,nan,None,,94.39852170000086,94.89803379998193,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
10,0,10,0,,,,,,,,,,,,,,,3,94.89803379998193,94.89803379998193,96.91336320000119,97.91259649998392,None,97.91259649998392,97.91259649998392,1,336.895899992669,space,0.336895899992669,98.27859249999165,98.77775089998613,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
11,0,11,0,,,,,,,,,,,,,,,3,98.77775089998613,98.77775089998613,100.79222579998896,101.79159199999413,None,101.79159199999413,101.79159199999413,1,320.69520000368357,space,0.32069520000368357,102.14127849999932,102.64058330000262,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
12,0,12,0,,,,,,,,,,,,,,,2,102.64058330000262,102.64058330000262,103.65630849997979,104.6553516999993,None,104.6553516999993,104.6553516999993,1,307.0049000089057,space,0.3070049000089057,104.98873339997954,105.4880584999919,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
13,0,13,0,,,,,,,,,,,,,,,1,105.4880584999919,105.4880584999919,105.4880584999919,106.48771329998272,None,106.48771329998272,106.48771329998272,1,352.4452999990899,space,0.3524452999990899,106.87001529999543,107.36976349999895,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
14,0,14,0,,,,,,,,,,,,,,,4,107.36976349999895,107.36976349999895,110.38377239997499,111.38324349999311,None,111.38324349999311,111.38324349999311,1,328.73349997680634,space,0.32873349997680634,111.73210219998145,112.23209409997799,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
15,0,15,0,,,,,,,,,,,,,,,1,112.23209409997799,112.23209409997799,112.23209409997799,113.2305706999905,None,113.2305706999905,113.2305706999905,1,332.7063999895472,space,0.3327063999895472,113.58054619998438,114.0808591999812,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
16,0,16,0,,,,,,,,,,,,,,,1,114.0808591999812,114.0808591999812,114.0808591999812,115.09555830000318,None,115.09555830000318,115.09555830000318,1,284.66209999169223,space,0.28466209999169223,115.39602190000005,115.89475539998966,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
17,0,17,0,,,,,,,,,,,,,,,2,115.89475539998966,115.89475539998966,116.8947808999801,117.89373280000291,None,117.89373280000291,117.89373280000291,1,312.0236999820918,space,0.3120236999820918,118.22609799998463,118.72577639998053,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
18,0,18,0,,,,,,,,,,,,,,,1,118.72577639998053,118.72577639998053,118.72577639998053,119.72485269999015,None,119.72485269999015,119.72485269999015,1,318.39090000721626,space,0.31839090000721626,120.0588943999901,120.5736687000026,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
19,0,19,0,,,,,,,,,,,,,,,4,120.5736687000026,120.5736687000026,123.58767009997973,124.58738419998554,None,124.58738419998554,124.58738419998554,1,273.6649000144098,space,0.2736649000144098,124.88692199997604,125.38683589998982,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.38683589998982,125.38683589998982,space,1.8368088999995962,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.25155039998936,127.25155039998936,0,2,6.854745999997249,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.54357949999394,134.54357949999394,0,0,3.7271238999965135,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.63940889999503,138.63940889999503,0,8,5.153809100011131,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.16781469999114,144.16781469999114,1,3,11.619146799988812,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.2235482999822,156.2235482999822,0,7,5.951903399982257,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.58400000000256,162.58400000000256,0,6,7.558832900016569,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.5432305999857,170.5432305999857,0,9,3.356008100003237,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.32293569998,174.32293569998,0,5,3.571031100000255,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.33577199999127,178.33577199999127,0,1,6.124886200006586,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.91312250000192,184.91312250000192,0,9,4.024317999981577,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.34216359999846,189.34216359999846,0,0,3.840113200014457,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.5549211000034,193.5549211000034,0,1,7.153416199987987,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.14886719998321,201.14886719998321,1,4,15.436181799974293,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.04968029999873,217.04968029999873,0,5,4.753602000011597,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.17809539998416,222.17809539998416,0,6,2.640920100006042,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.20908589998726,225.20908589998726,0,0,5.192111599986674,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.786815999978,230.786815999978,0,9,13.879644100001315,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.14031129999785,245.14031129999785,,None,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
