trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,response.rt,feedback_text.started,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,2,22,0,,,,,170.01068149999992,170.99442650000128,170.99476068000186,172.99598350000088,s,1,0.6955195000009553,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,3,23,0,,,,,173.0126765999994,173.99897550000242,173.99924978000163,,s,1,0.7106472000014037,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,0,24,3,,,,,176.01476040000125,176.99928990000262,176.999964179999,179.00113760000022,t,1,0.7641331000013452,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,1,25,0,,,,,179.01779979999992,180.0039383000003,180.00409238000103,,s,1,0.8982109999997192,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,2,26,1,,,,,182.01892320000115,182.9907729000006,182.99107398000015,184.98937970000043,s,1,0.6103553999964788,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,3,27,3,,,,,185.02318490000107,185.99159879999934,185.99140597999977,187.99190590000217,t,1,1.3232896999979857,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,0,28,2,,,,,188.00857600000018,189.01531109999996,188.9963788800018,,s,1,0.8338535999973828,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,1,29,1,,,,,191.01086829999986,191.9950200000021,191.9951074800014,193.99672030000147,s,1,0.9847286000003805,,,,,,192.99576770000203,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,7,2,30,3,,,,,194.01332530000218,194.99920980000024,194.9983573800022,196.99899890000233,t,1,0.8183613999972295,,,,,,195.99768949999998,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,3,31,1,,,,,197.01719729999968,198.0004544000003,198.00105508000016,200.00238119999995,s,1,0.9958112999993318,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,0,32,1,,,,,200.01829720000023,201.00318940000216,201.00233898000116,203.00393210000038,s,1,0.9224284000010812,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,1,33,1,,,,,203.0207728000023,203.9909093999995,203.99090517999903,206.00691899999947,s,1,0.7734524000006786,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,2,34,1,,,,,206.02312240000174,206.9912480999992,206.9908828800002,208.99364609999975,s,1,0.6931755999976303,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,3,35,1,,,,,209.00972100000217,209.9933713999999,209.9936403800024,211.99467519999962,s,1,0.9178079999983311,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,0,36,2,,,,,212.0128681999995,212.99576760000127,212.9964304800018,214.99743800000215,s,1,0.7273339999992459,,,,,,213.99690209999972,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,1,37,3,,,,,215.0142326000023,215.99853590000203,215.9984347800022,217.99998630000118,t,1,0.790683799998078,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,2,38,0,,,,,218.01709630000187,219.00119180000183,219.00105837999982,221.0026371999993,s,1,0.9028064000012819,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,3,39,1,,,,,221.0196625000026,222.00327169999946,222.0031809799988,224.00497630000245,s,1,1.2506827999968664,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.0216318999992,226.99125110000023,227.02500800000053,e,16.626996099999815,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
