trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,response.rt,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,5,0,20,2,,,,,219.90110790000017,220.88376629999993,220.88421606,223.38412890000018,None,1,,,,,,,221.88303059999998,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,5,1,21,1,,,,,223.4007772,224.38314979999996,224.38433525999997,226.88324760000023,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,5,2,22,2,,,,,226.90060119999998,227.88347139999996,227.88429126000008,230.38276080000014,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,5,3,23,2,,,,,230.40078799999992,231.38275160000012,231.38357286,233.88309530000015,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,6,0,24,1,,,,,233.89989120000018,234.8822180000002,234.88469206000016,237.38254730000017,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,6,1,25,1,,,,,237.40027820000023,238.38274150000007,238.3833620600001,240.8821084000001,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,6,2,26,1,,,,,240.89932839999983,241.8834992000002,241.8846091600001,244.38214789999984,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,3,27,3,,,,,244.39947979999988,245.38198250000005,245.3842815599999,247.8824039000001,t,1,,0.7085349999997561,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,7,0,28,1,,,,,247.90058090000002,248.8871838,248.88338546000003,,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,7,1,29,0,,,,,251.39904720000004,252.38102919999983,252.38177466000005,254.8815810000001,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,7,2,30,3,,,,,254.8986149000002,255.88132380000025,255.88423575999994,258.38081580000016,t,1,,0.7359748999997464,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,7,3,31,2,,,,,258.39895690000003,259.38102359999993,259.3817345599998,261.88111200000003,None,1,,,,,,,260.3810159999998,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,8,0,32,0,,,,,261.8982427000001,262.8803567,262.8821197599998,265.3807535000001,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,8,1,33,2,,,,,265.39832190000016,266.3803839000002,266.38170276000005,268.8822656000002,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,8,2,34,3,,,,,268.8986525,269.8808803000002,269.88210456,272.38066359999993,t,1,,0.6504305999997086,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,8,3,35,0,,,,,272.3978022000001,273.3801272999999,273.3809491600002,275.8796080000002,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,0,36,3,,,,,275.8974398999999,276.8804008000002,276.88136726000016,279.3801413000001,t,1,,0.6919554000000971,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
