trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,sound_1.stopped,response.keys,response.corr,feedback_text.started,response.stopped,response.rt,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,7,3,31,2,,,,,278.45031639997615,279.4346148999757,279.4349831499829,,None,1,,281.93664499997976,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,8,0,32,2,,,,,281.9528941999888,282.937308499997,282.9371059499943,,None,1,,285.439069199987,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,8,1,33,1,,,,,285.4560661999858,286.44013529998483,286.44020275000076,,None,1,,288.94241069999407,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,8,2,34,3,,,,,288.9591595999955,289.94290699998965,289.9432137499942,290.9441553999786,t,1,,,0.7775966000044718,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,8,3,35,3,,,,,292.4451439999975,293.4292329000018,293.4295341499936,,t,1,,295.9316913999792,0.9652139999961946,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,0,36,3,,,,,295.94862379998085,296.93250719999196,296.9329815499921,,t,1,,299.4346720999747,0.8213237000163645,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,1,37,3,,,,,299.4510289999889,300.4355258999858,300.43560154997687,,t,1,,302.9372298999806,0.8614824000105727,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,9,2,38,2,,,,,302.9539515999786,303.93833809997886,303.9380803499924,,None,1,,306.4400109999988,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,3,39,3,,,,,306.45700579998083,307.44105449999915,307.441591549982,,t,1,,309.9431026999955,0.8151485999987926,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.960505199997,312.9324537999928,312.96560820000013,e,12.137728699977743,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
