trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,feedback_text.started,response.rt,response.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,46,1,185,3,,,,,1089.6879080000072,1090.6710927000095,1090.6721603499986,t,1,,0.9258975999982795,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,46,2,186,0,,,,,1093.188857000001,1094.1725592000003,1094.1672358500014,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,46,3,187,1,,,,,1096.6813656000013,1097.665709199995,1097.66621515,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,47,0,188,0,,,,,1100.1781754999975,1101.162604600002,1101.1614396500022,None,1,,,1103.6757466999989,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,47,1,189,2,,,,,1103.6933314000053,1104.6573635000095,1104.6618161500023,None,1,,,1107.171391900003,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,47,2,190,3,,,,,1107.1877606000053,1108.1731256000057,1108.1706179499974,t,1,,0.9125051000009989,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,47,3,191,3,,,,,1110.6894307000039,1111.6689862000057,1111.6691534500073,t,1,,0.7629389000067022,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,48,0,192,1,,,,,1114.1837216999993,1115.1660445000016,1115.164248249997,None,1,,,,,,,,1116.1635593999963,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,48,1,193,1,,,,,1117.679621800009,1118.662736600003,1118.661651750002,None,1,,,1121.1768122000067,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,48,2,194,0,,,,,1121.1923253999994,1122.1738802000036,1122.173620850002,None,1,,,,,,,,1123.173427200003,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,48,3,195,0,,,,,1124.6894218000089,1125.6735212000058,1125.6725735500017,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,49,0,196,1,,,,,1128.1908926000033,1129.167811300009,1129.174914249999,None,1,,,1131.6663868000032,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,49,1,197,0,,,,,1131.6823540000041,1132.666574200004,1132.6657592500064,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,49,2,198,2,,,,,1135.178594099998,1136.1628778000013,1136.162196550003,None,1,,,1138.6775512000022,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,49,3,199,2,,,,,1138.6942337000073,1139.6768244999985,1139.6778437499975,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142.189132200001,1145.171531800006,1145.2047606999986,,,,,,,
