trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,response.rt,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,fixation.stopped,thank_you.started,thank_you.stopped,exit_exp.started,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,11,3,47,0,,,,,433.7191118999999,434.70287199999984,434.70212224,,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,12,0,48,1,,,,,437.2179934999999,438.2020308000001,438.2013284400001,440.70283130000007,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,12,1,49,3,,,,,440.71898899999997,441.7027831999999,441.7032545399999,444.2021792999999,t,1,,0.701034200000322,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,12,2,50,1,,,,,444.21986949999973,445.2027152999999,445.20157103999975,447.7021451999999,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,12,3,51,0,,,,,447.7187501999997,448.70186220000005,448.70176314,451.2021368999999,None,1,,,449.70215199999984,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,13,0,52,1,,,,,451.2178816999999,452.2020838999997,452.20194393999975,,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,13,1,53,1,,,,,454.7171521,455.7012015999999,455.7004531399999,458.2008409,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,13,2,54,3,,,,,458.2167565999998,459.20158029999993,459.20078093999985,,t,1,,0.9916150000003654,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,13,3,55,3,,,,,461.71688189999986,462.70028189999994,462.70085003999986,465.20047539999996,t,1,,1.0342356000005566,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,14,0,56,1,,,,,465.21686169999975,466.2003139999997,466.1995393399999,468.7002315,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,14,1,57,2,,,,,468.7160409999997,469.7000020999999,469.6997064399999,472.20007529999975,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,14,2,58,3,,,,,472.2165915999999,473.2004724999997,473.1996809399999,475.7002634999999,t,1,,1.2170457000001988,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,14,3,59,1,,,,,475.7164952999997,476.6992471999997,476.69938014,479.19998039999973,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,15,0,60,0,,,,,479.2157119999997,480.19965950000005,480.2027001399998,482.70072549999986,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,15,1,61,2,,,,,482.7158191999997,483.7002972,483.6992742399999,,None,1,,,484.7002048999998,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,15,2,62,2,,,,,486.21538329999976,487.1995870999999,487.2002348399998,489.69945370000005,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,15,3,63,1,,,,,489.7157143999998,490.6985878999999,490.69832624000003,493.1987700999998,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,16,0,64,3,,,,,493.2148354000001,494.19939769999974,494.1988747399997,,t,1,,0.9572605000003023,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,16,1,65,2,,,,,496.7152765999999,497.6983987999997,497.6980776399997,500.1997981999998,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,16,2,66,1,,,,,500.2150898,501.19928009999967,501.19841224000004,503.6990406,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,16,3,67,0,,,,,503.71510480000006,504.6989835999998,504.69889564000016,,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,17,0,68,2,,,,,507.2150827999999,508.19846129999996,508.1981777399998,510.69778159999987,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,17,1,69,0,,,,,510.7141437999999,511.6976560999997,511.69692364000014,514.1981766999997,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,17,2,70,3,,,,,514.214078,515.1983798000001,515.1973754399997,,t,1,,0.7272671000005175,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,17,3,71,2,,,,,517.7145769999997,518.6974462999997,518.6972031399997,521.1975327999999,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,18,0,72,2,,,,,521.2132978,522.1975035999999,522.1973011400001,524.6969282,None,1,,,,,,,,524.7130729,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,18,1,73,3,,,,,524.7130729,525.7127152999997,525.7135438399997,528.2129084999997,t,1,,0.7044242000001759,,,,,,528.2129084999997,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,18,2,74,0,,,,,528.2129084999997,529.2122630999997,529.2129092400002,531.7128561,None,1,,,,,,,,531.7128561,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,18,3,75,0,,,,,531.7128561,532.7122568,532.71347024,535.2122297000001,None,1,,,,,,,,535.2122297000001,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
