trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,key_resp_3.started,text_2.started,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,16,0,16,0,,,,,820.6207122000633,820.6207122000633,822.9690378499799,823.1354653000599,832.9926926000044,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,17,0,17,0,,,,,833.0754506000085,833.0754506000085,835.473747949989,835.5953202999663,,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,18,0,18,0,,,,,845.5816363000777,845.5816363000777,847.9621180500253,848.0949745000107,857.985383399995,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,19,0,19,0,,,,,858.0730917999754,858.0730917999754,860.4680522500421,860.5860516000539,870.5078654000536,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,20,0,20,0,,,,,870.6087011999916,870.6087011999916,872.9720095500234,873.1218949999893,,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,21,0,21,0,,,,,883.0784413999645,883.0784413999645,885.4603828499676,885.577577500022,895.4836503000697,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,22,0,22,0,,,,,895.5836899999995,895.5836899999995,897.9653289500275,898.0988262000028,907.9887428999646,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,23,0,23,0,,,,,908.0909665999934,908.0909665999934,910.4703078499879,910.6048669000156,,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,24,0,24,0,,,,,920.5606273000594,920.5606273000594,922.9598051499925,923.0753784000408,932.9823887000093,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,,,,,,,,,,,,,,932.9996457999805,932.9996457999805,space,29.806849099928513,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
