trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,text_2.started,ModulatedTone.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,6,0,6,0,,,,,374.58835159999944,374.58835159999944,376.5536387666664,376.60373079999954,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
3,0,3,0,7,0,7,0,,,,,381.5850617999995,381.5850617999995,383.54687016666617,383.5976348999993,,388.5601250999998,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
3,0,3,0,8,0,8,0,,,,,388.59230690000004,388.59230690000004,390.560695266666,390.59187569999995,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
3,0,3,0,9,0,9,0,,,,,395.5842365999997,395.5842365999997,397.5525671666667,397.5841051999996,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
3,0,3,0,,,,,,,,,,,,,402.5798077999998,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
4,0,4,0,0,0,0,0,,,,,407.57468569999946,407.57468569999946,409.55797536666637,409.5751188999993,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
4,0,4,0,1,0,1,0,,,,,414.5849180999994,414.5849180999994,416.5515735666661,416.5824795999997,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
4,0,4,0,2,0,2,0,,,,,421.597495,421.597495,423.54516376666675,423.6092046999993,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
4,0,4,0,3,0,3,0,,,,,428.57390750000013,428.57390750000013,430.55577606666634,430.5862989999996,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
4,0,4,0,4,0,4,0,,,,,435.5821143999992,435.5821143999992,437.54751106666595,437.5956581999999,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
4,0,4,0,5,0,5,0,,,,,442.59211400000004,442.59211400000004,444.5588649666663,444.5898228999995,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
4,0,4,0,6,0,6,0,,,,,449.60225249999985,449.60225249999985,451.55040506666614,451.6010966999993,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
4,0,4,0,7,0,7,0,,,,,456.5815423999993,456.5815423999993,458.5446713666663,458.5934532000001,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
4,0,4,0,8,0,8,0,,,,,463.60708160000013,463.60708160000013,465.55744096666626,465.6209001999996,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
4,0,4,0,9,0,9,0,,,,,470.58104659999935,470.58104659999935,472.5475002666665,472.5827240999997,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
4,0,4,0,,,,,,,,,,,,,477.57658059999994,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
,,,,,,,,,,,,,,,,,,482.5749384999999,482.5749384999999,,,,,,,
