trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,text_2.started,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,180.08129239990376,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
1,0,1,0,0,0,0,0,,,,,185.12510850001127,185.12510850001127,187.05082378983496,187.16104979999363,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
1,0,1,0,1,0,1,0,,,,,192.25225749984384,192.25225749984384,194.0344077898655,194.25086499983445,199.0627746998798,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
1,0,1,0,2,0,2,0,,,,,199.14544799993746,199.14544799993746,201.04437388996593,201.14457089989446,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
1,0,1,0,3,0,3,0,,,,,206.1395235999953,206.1395235999953,208.03760958979836,208.13899879995733,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
1,0,1,0,4,0,4,0,,,,,213.13254139991477,213.13254139991477,215.03162738988175,215.131242999807,220.06074689980596,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
1,0,1,0,5,0,5,0,,,,,220.14366289996542,220.14366289996542,222.04210378979332,222.15821119979955,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
1,0,1,0,6,0,6,0,,,,,227.1361181999091,227.1361181999091,229.0350941899698,229.13602599990554,234.0638872999698,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
1,0,1,0,7,0,7,0,,,,,234.14603889989667,234.14603889989667,236.04600188978947,236.14520319993608,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
1,0,1,0,8,0,8,0,,,,,241.12465579994023,241.12465579994023,243.0385233900044,243.13898689998314,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
1,0,1,0,9,0,9,0,,,,,248.1334512999747,248.1334512999747,250.03205978991463,250.14904149994254,255.06022689980455,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
1,0,1,0,,,,,,,,,,,,,,255.07917779986747,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
2,0,2,0,0,0,0,0,,,,,260.1383522998076,260.1383522998076,262.0382638900075,262.13793109986,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
2,0,2,0,1,0,1,0,,,,,267.14967589988373,267.14967589988373,269.04786138986236,269.14775089989416,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
2,0,2,0,2,0,2,0,,,,,274.14256169996224,274.14256169996224,276.0627731897868,276.14841479994357,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
2,0,2,0,3,0,3,0,,,,,281.1367475998122,281.1367475998122,283.0351908898912,283.1512018998619,288.0627334997989,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
2,0,2,0,4,0,4,0,,,,,288.1476834998466,288.1476834998466,290.04505068999714,290.1615644998383,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
2,0,2,0,5,0,5,0,,,,,295.15556270000525,295.15556270000525,297.03846678980625,297.1714284999762,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
