trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,text_2.started,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,5,0,5,0,,,,,329.31491430010647,329.31491430010647,331.19872254002837,331.3141696001403,336.2270277000498,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,6,0,6,0,,,,,336.32790740020573,336.32790740020573,338.207451340137,338.3418601001613,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,7,0,7,0,,,,,343.31847160006873,343.31847160006873,345.20190494004635,345.31757660000585,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,8,0,8,0,,,,,350.3288269001059,350.3288269001059,352.1965385401621,352.33016860019416,357.22383930021897,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,9,0,9,0,,,,,357.32350120018236,357.32350120018236,359.2055854402482,359.33947390015237,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,,,,,,,,,,,,,,364.237605500035,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,0,0,0,0,,,,,369.2948244002182,369.2948244002182,371.20987794022074,371.3110289000906,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,1,0,1,0,,,,,376.32183160004206,376.32183160004206,378.2047199400607,378.319992300123,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,2,0,2,0,,,,,383.30244450015016,383.30244450015016,385.1977002400439,385.3183493001852,390.2266177001875,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,3,0,3,0,,,,,390.32622090005316,390.32622090005316,392.2089572400786,392.34192100004293,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,4,0,4,0,,,,,397.317915200023,397.317915200023,399.2017173402477,399.3175506000407,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,5,0,5,0,,,,,404.3137401000131,404.3137401000131,406.1943309401162,406.3278528000228,411.2231064001098,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,6,0,6,0,,,,,411.3234662001487,411.3234662001487,413.20604534014126,413.32265520002693,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,7,0,7,0,,,,,418.31589180021547,418.31589180021547,420.1983199402224,420.33163380017504,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,8,0,8,0,,,,,425.3096911001485,425.3096911001485,427.2087307401001,427.3252943002153,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,9,0,9,0,,,,,432.3397925000172,432.3397925000172,434.20157354008404,434.3521604000125,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,,,,,,,,,,,,,,439.23040010011755,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
,,,,,,,,,,,,,,,,,,444.23040680005215,444.23040680005215,,,,,,,
