trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,key_resp_3.started,text_2.started,key_resp_3.keys,key_resp_3.rt,text_4.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,6,0,6,0,,,,,297.49197289999574,297.49197289999574,299.37204461002256,299.5057294999715,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
3,0,3,0,7,0,7,0,,,,,304.50063299993053,304.50063299993053,306.3652863099007,306.51490409998223,311.3952591998968,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
3,0,3,0,8,0,8,0,,,,,311.51040120003745,311.51040120003745,313.3762354100356,313.5252960000653,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
3,0,3,0,9,0,9,0,,,,,318.48748630005866,318.48748630005866,320.3681294100126,320.4847579000052,325.3969966999721,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
3,0,3,0,,,,,,,,,,,,,,325.4141613000538,325.4141613000538,space,2.5311461000237614,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
4,0,4,0,0,0,0,0,,,,,328.04550000000745,328.04550000000745,329.9609558099648,330.0600491000805,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
4,0,4,0,1,0,1,0,,,,,335.1059719999321,335.1059719999321,336.9540186099941,337.12043150002137,341.9817661999259,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
4,0,4,0,2,0,2,0,,,,,342.0820883999113,342.0820883999113,343.9494632099988,344.0812202000525,348.97525790007785,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
4,0,4,0,3,0,3,0,,,,,349.05822309991345,349.05822309991345,350.95677701004314,351.07373069995083,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
4,0,4,0,4,0,4,0,,,,,356.0710445998702,356.0710445998702,357.95079130998346,358.0850509998854,362.9791858000681,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
4,0,4,0,5,0,5,0,,,,,363.0786160000134,363.0786160000134,364.9612862099195,365.0934174999129,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
4,0,4,0,6,0,6,0,,,,,370.073195700068,370.073195700068,371.9537293100031,372.0701369000599,376.98237930005416,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
4,0,4,0,7,0,7,0,,,,,377.0824213998858,377.0824213998858,378.9647560100304,379.100423600059,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
4,0,4,0,8,0,8,0,,,,,384.07535669999197,384.07535669999197,385.957248710026,386.07453169999644,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
4,0,4,0,9,0,9,0,,,,,391.0685213999823,391.0685213999823,392.9501894099405,393.067534300033,397.9806603998877,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
4,0,4,0,,,,,,,,,,,,,,397.99701080005616,397.99701080005616,space,2.277092200005427,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
,,,,,,,,,,,,,,,,,,,,,400.29646690003574,400.29646690003574,space,1.848192600067705,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
