trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,57,0,228,2,,,,,780.3578798999952,781.357760999992,781.3580827599901,783.540527899997,783.3604245000024,3.177491882140168,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,57,1,229,0,,,,,783.540527899997,784.5436539999937,784.5432771599983,786.8080132000032,786.5571354999993,3.266442573300573,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,57,2,230,3,,,,,786.8080132000032,787.8079310999892,787.8088547600012,789.9410943999974,789.8087319999904,3.1225558505106243,t,1,0.8144348999921931,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,57,3,231,1,,,,,789.9410943999974,790.9410242000013,790.9433926599988,793.591817499997,792.9418044999911,3.648335622441615,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,58,0,232,0,,,,,793.591817499997,794.5739841000031,794.577238159992,797.3406593999971,796.5748423999903,3.7361022289497257,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,58,1,233,2,,,,,797.3406593999971,798.3402171999915,798.3416406599965,799.926663899998,800.3399014000024,2.571808615486855,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,58,2,234,1,,,,,800.3399014000024,801.3399669999926,801.3417080600004,804.0091939999984,803.3403450999904,3.623152151755275,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,58,3,235,3,,,,,804.0091939999984,804.9902730000031,804.991282860002,807.7894271999976,806.9898333000019,3.775159294884923,t,1,0.5887194000097224,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,59,0,236,3,,,,,807.7894271999976,808.7890863999928,808.7900493599984,811.690365699993,810.7899870999972,3.8864575391129716,t,1,0.8852506999974139,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,59,1,237,2,,,,,811.690365699993,812.690007199999,812.690549260001,813.7424243999994,814.6896111999959,2.042500668568604,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,59,2,238,1,,,,,814.6896111999959,815.6897230000031,815.6906471599898,818.2561548999947,817.6896254000021,3.5662213487180265,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,59,3,239,0,,,,,818.2561548999947,819.254869299999,819.2558570599897,820.6401859999896,821.2934984000021,2.384141475420935,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,60,0,240,0,,,,,821.2934984000021,822.2563368999981,822.2586299599891,824.9224418999947,824.2569479999947,3.6177074902060666,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,60,1,241,2,,,,,824.9224418999947,825.9217937999929,825.923029059991,827.7567255000031,827.9233857999934,2.8288298426821497,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,60,2,242,1,,,,,827.9233857999934,828.9213471999974,828.9229522600028,830.3213513999945,830.9225758999964,2.3872255707609775,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,60,3,243,3,,,,,830.9225758999964,831.9221467000025,831.9228884599972,834.2216645000008,833.923080099994,3.290389884354413,t,1,0.7943748999969102,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,61,0,244,3,,,,,834.2216645000008,835.221438099994,835.2235164599945,836.2419746999949,837.2223711999977,2.0169026317456566,t,1,0.8881898000108777,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,61,1,245,2,,,,,837.2223711999977,838.2222179999953,838.2222248599967,840.1569881999894,840.2230809999892,2.936654015701287,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,61,2,246,1,,,,,840.2230809999892,841.2220186999912,841.2223698599948,844.0375207999896,843.2223776000028,3.8001852862815855,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,61,3,247,0,,,,,844.0375207999896,845.0215812999959,845.0222603599934,848.0205306999997,847.0223847000016,3.9717170504302826,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,62,0,248,1,,,,,848.0205306999997,849.0214120000019,849.0215830600021,851.0872875999921,851.0206441999908,3.067044285265742,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
