trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,response.rt,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,4,1,21,2,,,,,253.86325659998693,254.84598959999857,254.8456233600009,257.34748329999275,None,1,,,255.8463991000026,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,4,2,22,1,,,,,257.364298600005,258.3475376999995,258.348384959987,260.848745299998,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,4,3,23,4,,,,,260.866380499996,261.83212430001004,261.83254255999054,264.3333452999941,t,1,,0.838677000021562,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,4,4,24,0,,,,,264.3502860000008,265.33447010000236,265.3336438599945,267.83451640000567,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,5,0,25,4,,,,,267.85378330000094,268.8354955999821,268.8353159600083,271.33620459999656,t,1,,0.9208865000109654,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,5,1,26,0,,,,,271.35319619998336,272.33700199998566,272.3380884599901,274.8383984999964,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,5,2,27,3,,,,,274.85458009998547,275.8383603999973,275.8383409599919,278.3391755000048,None,1,,,276.8384471999889,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,5,3,28,1,,,,,278.35581350000575,279.3402315999847,279.33950695999374,281.84150439998484,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,5,4,29,2,,,,,281.85793140000897,282.84105109999655,282.84142905999033,285.3416365000012,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,6,0,30,4,,,,,285.3582325000025,286.34349060000386,286.34276556000987,288.84409500000766,t,1,,1.0506994999886956,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,6,1,31,3,,,,,288.8606199999922,289.8439611000067,289.8439993600041,292.3449828999874,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,6,2,32,2,,,,,292.36217249999754,293.345155899995,293.34688655998616,295.8465628999984,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
