trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,fixation.stopped,FixDur,response.keys,response.corr,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,18,1,73,0,,,,,367.00622689997545,368.0056913999724,368.00488556998897,370.0051372000016,372.47691939998185,5.458867468956694,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,18,2,74,2,,,,,372.47691939998185,373.47225589997834,373.4720774699992,375.4713856999879,377.42397030000575,4.938969540936273,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,18,3,75,3,,,,,377.42397030000575,378.42237679997925,378.42123006996115,380.43844399997033,383.1709588999511,5.733293258513626,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,19,0,76,0,,,,,383.1709588999511,384.1709870999912,384.1708328699635,386.17057169997133,386.986726299976,3.8017645984199246,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,19,1,77,1,,,,,386.986726299976,387.9902333999635,387.97425166996544,390.00619220000226,389.72121059999336,2.734487042083267,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,19,2,78,2,,,,,390.00619220000226,391.00448949995916,391.0043648699822,393.0048091999488,393.78701039997395,3.7790195922597505,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,19,3,79,3,,,,,393.78701039997395,394.7868599999929,394.78651466996524,396.7877484000055,398.1885479000048,4.384752700679357,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,20,0,80,3,,,,,398.1885479000048,399.18690119998064,399.18668126997653,401.1877381999511,404.052306699974,5.855585329000435,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,20,1,81,1,,,,,404.052306699974,405.0553052999894,405.0540721699537,407.0694148999755,406.35374009999214,2.2687609097228942,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,20,2,82,2,,,,,407.0694148999755,408.06968439999036,408.0694684699585,410.0703703999752,411.68632079998497,4.610549804043631,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,20,3,83,0,,,,,411.68632079998497,412.70878139999695,412.6913392699964,414.71822669997346,413.8528596999822,2.15121972880818,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,21,0,84,3,,,,,414.71822669997346,415.7037569999811,415.7036180699535,417.7260895999498,419.10247879999224,4.381113307096568,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,21,1,85,1,,,,,419.10247879999224,420.1021644999855,420.1023049699899,422.10397090000333,422.10397090000333,2.9941392649919902,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,21,2,86,2,,,,,422.10397090000333,423.10214009997435,423.1024746700015,425.1024652000051,427.9199570000055,5.811557691630959,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,21,3,87,0,,,,,427.9199570000055,428.92391359998146,428.9081919699849,430.9360591999721,431.6672853999771,3.7354870464412313,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,22,0,88,0,,,,,431.6672853999771,432.66887959995074,432.6684760700038,434.6686495000031,437.485082899977,5.803193026823811,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,22,1,89,1,,,,,437.485082899977,438.48468199995114,438.4837257699866,440.48483099997975,439.91781699995045,2.4180807516708063,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,22,2,90,2,,,,,440.48483099997975,441.48483489995124,441.48427037000073,443.48484109999845,443.48484109999845,2.9982685961086823,None,1,442.4875417999574,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,22,3,91,3,,,,,443.48484109999845,444.4861153999809,444.48482966995215,446.50092659995425,448.37147939996794,4.837472693731872,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,23,0,92,0,,,,,448.37147939996794,449.33541419997346,449.334195969993,451.3508418999845,453.3778347999905,4.957393957729016,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,23,1,93,2,,,,,453.3778347999905,454.3338164999732,454.3334762699844,456.33369449997554,457.86701379995793,4.477025795175029,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,23,2,94,3,,,,,457.86701379995793,458.8675188999623,458.86687966996686,460.86695319996215,460.9500349999871,3.0681292498247097,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,23,3,95,1,,,,,460.9500349999871,461.9509834999917,461.95056316997506,463.9509862999548,466.23253249999834,5.276604157974482,None,1,462.95084189996123,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,24,0,96,0,,,,,466.23253249999834,467.23364289995516,467.23299036997486,469.2508548999904,470.80015480000293,4.562844465504551,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,24,1,97,3,,,,,470.80015480000293,471.8009371999651,471.79914096994906,473.81584049999947,476.1157455999637,5.306855878845038,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,24,2,98,1,,,,,476.1157455999637,477.1160674999701,477.1155003699998,479.11568749998696,481.43126719997963,5.302456676021107,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,24,3,99,2,,,,,481.43126719997963,482.4319528999622,482.4321810699941,484.4332161999773,485.31570159998955,3.8782306431330444,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,25,0,100,1,,,,,485.31570159998955,486.33889019995695,486.32115577000076,488.3486898999545,488.0152301999624,2.699469294295078,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,25,1,101,3,,,,,488.3486898999545,489.3484026999795,489.3481687699852,491.3507282999926,490.7662883999874,2.406897103380193,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,25,2,102,2,,,,,491.3507282999926,492.34863669995684,492.34823977000195,494.34980949998135,493.83176799997455,2.4746447363809283,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,25,3,103,0,,,,,494.34980949998135,495.34857719996944,495.34824986996244,497.34910779999336,499.58154069999,5.218293824121117,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,26,0,104,1,,,,,499.58154069999,500.58131629996933,500.581048769952,502.58166429999983,504.34775779995834,4.7599438221602375,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,26,1,105,3,,,,,504.34775779995834,505.351070899982,505.3348683699907,507.36440550000407,509.46409299998777,5.1053071173816695,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,26,2,106,2,,,,,509.46409299998777,510.46442859998206,510.46359966999734,512.4642342999578,511.834864799981,2.3577385651534986,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,26,3,107,0,,,,,512.4642342999578,513.4639084999799,513.4637210699905,515.4657361999853,517.2836512000067,4.807722824863413,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,27,0,108,0,,,,,517.2836512000067,518.2834384999587,518.2814442699485,520.2969542999635,521.8472047999967,4.554402145225011,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,27,1,109,1,,,,,521.8472047999967,522.8457309999503,522.8455032700033,524.9040194999543,525.8133209999651,3.955742180300735,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,27,2,110,3,,,,,525.8133209999651,526.8121331000002,526.8123180699943,528.8143914999673,530.9984504999593,5.1684637765138355,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,27,3,111,2,,,,,530.9984504999593,531.9977793999715,531.9960034699936,534.0131512999651,536.1796780999866,5.175299138935861,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,28,0,112,2,,,,,536.1796780999866,537.1792185999802,537.17858506997,539.1796326999902,540.1811712000053,3.976554397928945,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,28,1,113,0,,,,,540.1811712000053,541.1632233999553,541.162986669998,543.1797610999784,545.2463124999776,5.058632815231543,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,28,2,114,3,,,,,545.2463124999776,546.2459381999797,546.2458681699529,548.24606949999,550.9281011999701,5.678248482367421,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
