trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,45,1,181,2,,,,,666.6826644999965,667.6838068999932,667.682257479988,670.3835924000014,669.6829911999812,3.6864013228815833,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,45,2,182,0,,,,,670.3835924000014,671.3833268999879,671.3833329799818,673.0005933000066,673.4222696999786,2.606929845302379,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,45,3,183,3,,,,,673.4222696999786,674.3831043999817,674.3830682800035,676.8328119999787,676.3832000999828,3.402662779462461,t,1,0.7561312000034377,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,46,0,184,2,,,,,676.8328119999787,677.8332670999807,677.8332666799834,680.0829997999826,679.8329378000053,3.250941400892371,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,46,1,185,3,,,,,680.0829997999826,681.0836241999932,681.0832175799878,682.9167340999993,683.0831515000027,2.82103745633266,t,1,0.8073165000241715,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,46,2,186,1,,,,,683.0831515000027,684.0827099999879,684.0827141799964,686.5498632999952,686.083244599984,3.451695480022467,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,46,3,187,0,,,,,686.5498632999952,687.5497714999947,687.5500101799844,690.3376158000028,689.5512701999978,3.7455262741762336,None,1,,688.5505429999903,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,47,0,188,3,,,,,690.3376158000028,691.2999031999789,691.3007980799885,693.9503229999973,693.2995675999846,3.6067585488801335,t,1,0.8958911999943666,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,47,1,189,0,,,,,693.9503229999973,694.9506166999927,694.950108680001,696.81651959999,696.9503777000064,2.8547783739533634,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,47,2,190,2,,,,,696.9503777000064,697.9731284999871,697.955253580003,699.9167161999794,699.983464799996,2.965568885492431,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,47,3,191,1,,,,,699.983464799996,700.9838470999966,700.9835908800014,702.3508920999884,702.9835501000052,2.3617568459451395,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,48,0,192,0,,,,,702.9835501000052,703.9673714999808,703.96701647999,705.450121300004,705.9666722999827,2.463242592447491,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,48,1,193,2,,,,,705.9666722999827,706.9667366000067,706.9667453799921,709.2001252000045,708.9668964000011,3.2277307791171674,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,48,2,194,3,,,,,709.2001252000045,710.2000780999952,710.2000582799956,712.5663226000033,712.2000539999863,3.3618044255472346,t,1,0.8999745000037365,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,48,3,195,1,,,,,712.5663226000033,713.5673135999823,713.5670357799972,715.5998368999863,715.5664632999978,3.0199908372120423,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
