trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation_cross.started,response.started,sound_1.started,response.stopped,fixation_cross.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,22,1,89,3,,,,,380.0264058000175,381.0261476999731,381.026246499992,383.0259104000288,382.19332820002455,2.155540510776899,t,1,0.8594081000192091,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,22,2,90,1,,,,,383.0259104000288,384.0230787000037,384.0234685000265,386.0377136999741,386.6545248000184,3.6238108382903045,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,22,3,91,0,,,,,386.6545248000184,387.6535873999819,387.6544066000148,389.6700044000172,391.5834743999876,4.916947748225609,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,23,0,92,1,,,,,391.5834743999876,392.5827741000103,392.5815833999892,394.59577670000726,394.16318169998704,2.5762193439009478,None,1,,393.5818930999958,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,23,1,93,3,,,,,394.59577670000726,395.5955644000205,395.59810450000225,397.59354799997527,397.04485649999697,2.439565574740593,t,1,0.7000891999923624,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,23,2,94,2,,,,,397.59354799997527,398.59235410002293,398.5943233000231,400.6069742999971,399.82567749999,2.231558611378665,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,23,3,95,0,,,,,400.6069742999971,401.6059671000112,401.6092336999951,403.60712830000557,404.87046730000293,4.256166957681735,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,24,0,96,1,,,,,404.87046730000293,405.87110220000613,405.8713002000237,407.8835100000142,407.0011435999768,2.1312847134879624,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,24,1,97,3,,,,,407.8835100000142,408.8844803000102,408.88436970000623,410.8996757999994,411.802058900008,3.9112109256178855,t,1,0.7153649000101723,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,24,2,98,0,,,,,411.802058900008,412.7803089999943,412.78185009999436,414.7961637999979,415.661259400018,3.8567826458437375,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
