trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,response.rt,sound_1.stopped,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,8,0,32,3,,,,,489.56134550000206,490.54509770000004,490.54558709000304,493.046583000003,t,1,0.8191697000002023,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,8,1,33,1,,,,,493.0639592000007,494.05222910000157,494.04765538999965,496.5498355000018,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,8,2,34,0,,,,,496.570811900001,497.55043210000076,497.55222619000307,500.0546469000001,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,8,3,35,2,,,,,500.0699691000009,501.03771609999967,501.03881579000046,503.54030390000116,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,9,0,36,3,,,,,503.5548806000006,504.54404630000136,504.5404849900031,507.0428517,t,1,0.49381590000120923,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,9,1,37,2,,,,,507.0602099000025,508.0435871000009,508.04469309000234,510.5455045000017,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,9,2,38,0,,,,,510.56399020000026,511.5465944000025,511.5472959900024,514.0507772000019,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,9,3,39,1,,,,,514.0643337000001,515.0479730000006,515.0490461899997,517.5511712000007,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,10,0,40,1,,,,,517.5690896000015,518.5517089000023,518.5534377900028,521.0556164000009,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,10,1,41,2,,,,,521.070525500003,522.0384550000017,522.042777190002,524.5403708000013,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,10,2,42,3,,,,,524.557159,525.5443903000014,525.5419858900011,528.0435219000028,t,1,0.5284093999980541,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,10,3,43,0,,,,,528.0628014000031,529.0441836000027,529.0440452900027,531.5524289000023,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,11,0,44,3,,,,,531.5869310000016,532.549226500003,532.5470091900013,535.0482487000008,t,1,0.8504797000023245,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,11,1,45,1,,,,,535.0701454000009,536.051112000001,536.0492481900026,538.5519469999999,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,11,2,46,2,,,,,538.5691876000019,539.5379733000009,539.5385605899999,542.0383521000003,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,11,3,47,0,,,,,542.0547036999997,543.0394417000025,543.0427592900003,545.5431134000028,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,12,0,48,3,,,,,545.5569467000023,546.5430510000006,546.5416963900013,549.043510800002,t,1,0.48646720000033383,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,12,1,49,1,,,,,549.0606498000016,550.0453764000013,550.0454437899996,552.5471066999999,None,1,,551.0451573000028,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,12,2,50,2,,,,,552.566427400001,553.5480593000029,553.5505024900001,556.0505961000017,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,12,3,51,0,,,,,556.0659288999996,557.0517086,557.0551423900022,559.5528768000004,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,13,0,52,0,,,,,559.5695248000011,560.5548812000015,560.5452702900027,,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,13,1,53,1,,,,,563.0550807,564.0410083999996,564.0403476900017,566.5428204000018,None,1,,565.0407975000016,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,13,2,54,3,,,,,566.558802800002,567.5438342000016,567.5456457900025,570.0485179000025,t,1,0.786853700003121,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,13,3,55,2,,,,,570.0635370000018,571.0466321000022,571.0457743900031,573.5478999000006,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,14,0,56,0,,,,,573.5644449000029,574.5485411000009,574.5491005900028,,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,14,1,57,2,,,,,577.0878204,578.0521298000021,578.051795590002,,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,14,2,58,3,,,,,580.5542683000021,581.5379522000003,581.5386703900028,584.0436265999997,t,1,0.6558957000015653,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,14,3,59,1,,,,,584.056112000002,585.0403606,585.0410119899996,587.545019000001,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,15,0,60,2,,,,,587.5591789999999,588.5441323000014,588.5443541900011,591.0498564000009,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,15,1,61,1,,,,,591.0621517,592.0456303999999,592.0491420900023,594.5503011000001,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,15,2,62,0,,,,,594.5650521000025,595.5525928000025,595.5491609900007,598.052487500001,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,15,3,63,3,,,,,598.0701757999996,599.0531155000026,599.0543522899995,,t,1,0.7735819000008632,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,16,0,64,0,,,,,601.5561868000004,602.5383636000006,602.5390848900013,605.0420225000016,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,16,1,65,2,,,,,605.0582284000011,606.0436057000006,606.0414855900005,608.5456621000012,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
