trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,response.rt,sound_1.stopped,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,14,0,56,0,,,,,328.47109289999935,329.43775469998945,329.43783242998177,332.43838469998445,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,14,1,57,2,,,,,332.470587799995,333.4405365999846,333.44054992998133,336.44205529999454,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,14,2,58,3,,,,,336.4725527999981,337.43764970000484,337.4375506299897,340.4369194000028,t,1,1.8563032999809366,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,14,3,59,1,,,,,340.4707353999838,341.4592461999855,341.44198342998277,,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,15,0,60,0,,,,,344.4708329999994,345.4371967999905,345.438127029984,348.4378637999762,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,15,1,61,1,,,,,348.4710508999997,349.43773889998556,349.43753052998215,352.43757179999375,None,1,,350.4381547999801,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,15,2,62,3,,,,,352.47116509999614,353.43850139999995,353.43774343000257,356.43767039998784,t,1,0.9825064000033308,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,15,3,63,2,,,,,356.47068460000446,357.4382735999825,357.4384269299975,360.4534170999832,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,16,0,64,2,,,,,360.4705134999822,361.4393136999861,361.438135329989,364.45469789998606,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,16,1,65,3,,,,,364.4712735999783,365.45475919998717,365.4544043300033,368.45470030000433,t,1,0.8146491999796126,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,16,2,66,0,,,,,368.471329299995,369.4376280999859,369.4381117299839,372.46033119998174,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,16,3,67,1,,,,,372.5103533999936,373.4374409999873,373.43751712999654,376.43879089999245,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,17,0,68,2,,,,,376.45522029997665,377.4549914999807,377.45451903000355,,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,17,1,69,3,,,,,380.45491579998634,381.43841289999546,381.4381426299864,384.4612936999765,t,1,1.2702969999809284,382.4384165999945,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
