trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,3,2,14,2,,,,,261.8984305999911,262.8979382999969,262.8979671999929,267.1506684999913,264.8982738999912,5.223320930631658,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,3,3,15,0,,,,,267.1506684999913,268.1315142999956,268.13149029999624,273.0984921000054,270.1317971999961,5.936034050745585,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,4,0,16,2,,,,,273.0984921000054,274.0989266999968,274.0982470999967,278.4817564999976,276.09819509999943,5.379682331904595,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,4,1,17,0,,,,,278.4817564999976,279.48162310000043,279.48154000000216,281.8314309999987,281.48190139999497,3.346617653955058,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,4,2,18,1,,,,,281.8314309999987,282.8320415999915,282.8318622000021,287.33247459999984,284.8322230999911,5.492468798611059,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,4,3,19,3,,,,,287.33247459999984,288.3317056999949,288.3315821999946,292.9985414999974,290.3319774999982,5.656861292024269,None,0,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,5,0,20,2,,,,,292.9985414999974,293.99855570000364,293.9989748000022,297.9650302999944,295.998537499996,4.9554431337760345,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,5,1,21,1,,,,,297.9650302999944,298.9650203999918,298.96479859999965,303.7648343000037,300.9655719000002,5.786885654102293,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,5,2,22,3,,,,,303.7648343000037,304.7651715999964,304.7647365999961,307.11665870000434,306.7651932000008,3.3371371899948286,None,0,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,5,3,23,0,,,,,307.11665870000434,308.11518730000535,308.11515479999946,310.84875580000516,310.11530160000257,3.7284951992138033,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
