trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,sound_1.stopped,response.keys,response.corr,feedback_text.started,response.stopped,feedback_text.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,3,3,18,2,,,,,163.97867740000038,164.96276960000068,164.96276646000078,,None,1,,167.46459930000128,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,3,4,19,0,,,,,167.4813516000013,168.4658330000002,168.4650130599999,,None,1,,170.96754470000087,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,4,0,20,3,,,,,170.9845191000004,171.96874260000004,171.96856626000007,,None,1,,174.4703511000007,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,4,1,21,1,,,,,174.48788080000122,175.4929146000013,175.47493646000075,,None,1,,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,4,2,22,2,,,,,177.9902047000014,178.97462390000146,178.97515156000154,,None,1,,181.47658650000085,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,4,3,23,4,,,,,181.49312770000142,182.46023770000102,182.46019066000153,,None,0,,184.9629832999999,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,4,4,24,0,,,,,184.97933960000046,185.96379180000076,185.9643552600006,,None,1,,188.46586220000063,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,5,0,25,2,,,,,188.48277159999998,189.46650560000126,189.46716976000025,,None,1,,191.96802470000148,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,5,1,26,0,,,,,191.98536290000084,192.96993199999997,192.9699752600005,,None,1,,195.47146820000125,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,5,2,27,1,,,,,195.48849510000036,196.47344350000094,196.47345236000146,,None,1,,198.97468630000003,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
,,,,,,,,,,,,,,,,198.99317260000134,,,,,,,,,,,,,,,,,,,
