trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,sound_1.stopped,response.rt,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,4,9,49,2,,,,,472.29054950000136,473.27458880000086,473.27484568000057,475.7775780000011,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,5,0,50,5,,,,,475.79382260000057,476.7775429000012,476.77828168000144,479.28032150000035,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,5,1,51,0,,,,,479.2965894000008,480.2639899000005,480.2642539800005,482.7661063000014,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1001,5,2,52,9,,,,,482.78332390000105,483.7665455000006,483.76706438000167,486.26914639999995,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,5,3,53,7,,,,,486.2854253000005,487.26952600000004,487.26983778000124,489.7722928000003,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,5,4,54,2,,,,,489.7883034000006,490.7725685000005,490.77300618000174,493.27509009999994,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,5,5,55,1,,,,,493.2916986,494.2755434999999,494.2761120800011,496.77741890000107,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,5,6,56,8,,,,,496.7942512000009,497.778043100001,497.7781555800017,,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,5,7,57,6,,,,,500.28043980000075,501.26442940000015,501.2651995800012,503.7677171000014,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,5,8,58,3,,,,,503.78373270000156,504.76781889999984,504.76812218,507.2701040000011,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,5,9,59,4,,,,,507.2865967000016,508.2707769000008,508.2710530800001,510.7731018000013,t,1,,0.8391839999985677,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,6,0,60,2,,,,,510.7896137000007,511.77387350000026,511.7740591800017,514.2762672000008,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,6,1,61,8,,,,,514.292416100001,515.2770299000003,515.27641628,517.7788122000002,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,6,2,62,3,,,,,517.7959038000008,518.7794208000014,518.7799143800008,,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,6,3,63,6,,,,,521.2812128000005,522.2658839000014,522.2656771800017,524.7677889000006,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1001,6,4,64,9,,,,,524.7843736000013,525.7687606,525.7691822800012,528.2710110000007,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,6,5,65,4,,,,,528.2873104999999,529.2718981000016,529.27168038,531.7743564000011,t,1,,0.8551030999988143,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,6,6,66,5,,,,,531.7906576000005,532.7750399000015,532.7749629800006,535.2765114000013,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,6,7,67,1,,,,,535.2931093000007,536.2777167000004,536.2772276800011,538.7805991000005,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,6,8,68,7,,,,,538.7963983000009,539.7637739000002,539.7635911800013,542.2664951000006,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,6,9,69,0,,,,,542.2823222000006,543.2666875000014,543.2671110800007,545.7688129000016,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,7,0,70,0,,,,,545.7855275000002,546.7695349000005,546.769988480001,549.2715673000002,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,7,1,71,1,,,,,549.2881335000002,550.2722703,550.2723542800001,552.7751349999999,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,7,2,72,6,,,,,552.7909267000014,553.7761061000001,553.7753394800008,556.2778309000005,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,7,3,73,3,,,,,556.2939028000001,557.2782478000008,557.2782774800004,559.7806106000007,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1001,7,4,74,9,,,,,559.797262600001,560.7646488000009,560.7655394800009,563.2676661000005,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,7,5,75,4,,,,,563.2840802999999,564.2674618000001,564.26753238,566.7703224000015,t,1,,0.9147739999989426,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,7,6,76,5,,,,,566.7865966000008,567.7709899000001,567.7708137800006,570.2729508000011,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,7,7,77,8,,,,,570.2901709000016,571.2740376000002,571.2737476800017,573.7756732000016,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,7,8,78,7,,,,,573.7928022000015,574.7766399000011,574.7762165800001,577.2782293,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,7,9,79,2,,,,,577.2960137000009,578.279200500001,578.2791327800011,,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,8,0,80,0,,,,,580.7815543000015,581.7662560000008,581.7660433800016,584.2678503000006,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,8,1,81,6,,,,,584.2848654000009,585.2686078000006,585.2690353800014,587.7708192999999,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,8,2,82,7,,,,,587.7891109000011,588.7716553999999,588.7711805800014,591.2734858000003,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,8,3,83,2,,,,,591.2903561000003,592.2751161000015,592.2745876800005,594.7763899000001,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,8,4,84,4,,,,,594.7932736000002,595.7783069000016,595.7779937800011,598.2791770000003,t,1,,0.6492529000006471,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
