trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,fixation.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,participant,session,date,expName,psychopyVersion,frameRate,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,6,2,26,3,,,,,120.75025310000638,121.75000040000305,121.74998438999901,123.75038820000191,124.73392420000164,3.973063485490738,t,1,0.9656710999988718,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,3,27,1,,,,,124.73392420000164,125.73656930000288,125.73401889001107,127.75167019999935,128.73290420000558,3.986896796192297,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,0,28,1,,,,,128.73290420000558,129.73314270000265,129.7337820900124,131.7331325999985,131.95041790000687,3.201482956672141,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,1,29,2,,,,,131.95041790000687,132.95091759999923,132.95084999000974,134.96581870000227,135.51665180000418,3.561583084302997,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,2,30,0,,,,,135.51665180000418,136.5166360000003,136.51553409000772,138.51731250000012,137.84938050000346,2.3318883280554124,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,7,3,31,3,,,,,138.51731250000012,139.51852810000128,139.5152333900027,141.5317428999988,141.9983932000032,3.47022866339624,t,1,0.822321199986618,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,8,0,32,1,,,,,141.9983932000032,142.99793080000381,142.99862758999953,144.9992945999984,144.0315380000102,2.034407946005774,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,8,1,33,2,,,,,144.9992945999984,145.982396899999,145.98366459000536,147.98248020000756,148.44922550000774,3.4354059258733867,None,1,,146.98318650000147,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,8,2,34,0,,,,,148.44922550000774,149.43252070000744,149.4329212900033,151.43116710000322,151.23213750000286,2.775577875806976,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,8,3,35,3,,,,,151.43116710000322,152.43116269999882,152.43178799000307,154.43306830000074,153.7828171000001,2.3392960367361577,t,1,1.0535087999887764,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,9,0,36,2,,,,,154.43306830000074,155.43116439999721,155.43191039000376,157.4315091000026,157.9816021000006,3.547201207631524,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,9,1,37,3,,,,,157.9816021000006,158.98273390000395,158.9814923900107,160.99720090000483,160.51498810001067,2.5194337171415877,t,1,0.9010158999881241,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,9,2,38,1,,,,,160.99720090000483,161.99822380000842,161.99829089001142,163.99716009999975,164.9317904000054,3.924055921204694,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,9,3,39,0,,,,,164.9317904000054,165.9307189000101,165.93162909000094,167.93088860000717,167.03105859999778,2.0912787924421954,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
