trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,feedback_text.started,response.stopped,response.rt,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,7,3,31,1,,,,,207.43461060000118,208.41858689999208,208.41860128998525,None,1,,210.92049329998554,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,8,0,32,1,,,,,210.9373912999872,211.9212568999792,211.92146158999532,None,1,,214.42373559999396,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,8,1,33,0,,,,,214.44071369999438,215.4248174999957,215.42498848998804,None,1,,217.92602839999017,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,8,2,34,3,,,,,217.9427947999793,218.92755469999975,218.92803928999348,t,1,,221.42920699997921,0.9128647000179626,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,8,3,35,1,,,,,221.44574839997222,222.4141527999891,222.4134501899942,None,1,,224.9152362999739,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,9,0,36,1,,,,,224.93232100000023,225.91669329997967,225.91625808998361,None,1,,228.41855379997287,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,9,1,37,2,,,,,228.4353398999956,229.41928659999394,229.41953188999906,None,1,,231.92154139999184,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,2,38,3,,,,,231.9383753000002,232.92264710000018,232.92310798998807,t,1,,235.42458269998315,0.7577472999983002,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,9,3,39,2,,,,,235.4408765999833,236.4249157999875,236.42521518999712,None,1,,238.92730069998652,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.9438594999956,241.91334329999518,241.94681159997708,e,9.77555210000719,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
