trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,7,3,38,1,,,,,228.14533120000124,229.12977070000125,229.12968160000128,231.63120400000116,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,7,4,39,4,,,,,231.64767230000143,232.63369020000027,232.63212779999958,235.1341852000005,None,0,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,8,0,40,0,,,,,235.1514575000001,236.1229060000005,236.12168550000024,238.64218009999968,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,8,1,41,1,,,,,238.69482400000015,239.6219447000003,239.62153779999971,242.12329630000022,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,8,2,42,4,,,,,242.14000140000098,243.12455560000126,243.12446360000104,245.62656919999972,None,0,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,8,3,43,3,,,,,245.64323690000128,246.62703340000007,246.62718669999958,249.12933479999992,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,8,4,44,2,,,,,249.14600390000123,250.12153880000005,250.1187017000011,252.63316230000055,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,9,0,45,1,,,,,252.64889349999976,253.63379970000096,253.63308570000117,,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,9,1,46,0,,,,,256.13595110000097,257.1191636000003,257.1192798000011,259.6211132999997,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,9,2,47,4,,,,,259.637558800001,260.6228318000012,260.62276440000096,263.12451000000146,None,0,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,9,3,48,3,,,,,263.1411200000002,264.12536010000076,264.12512849999985,266.6270851999998,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,9,4,49,2,,,,,266.64586750000126,267.6280979000003,267.62809630000083,270.1302274000009,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,10,0,50,2,,,,,270.14699480000127,271.13142549999975,271.1311192000012,273.6342005000006,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,10,1,51,3,,,,,273.6504702000002,274.61815560000105,274.62001039999996,277.12038680000114,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,10,2,52,4,,,,,277.13629969999965,278.12114140000085,278.1204346000013,280.6232144000005,None,0,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
