trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation_cross.started,response.started,sound_1.started,fixation_cross.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,participant,session,date,expName,psychopyVersion,frameRate,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,36,2,146,3,,,,,582.7522576000047,583.7385213999951,583.7366347399991,587.7195862999943,585.7518198000034,4.966524812889379,t,1,0.5391952000063611,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,36,3,147,0,,,,,587.7195862999943,588.7062291000038,588.706792340007,589.8016499000078,590.7185777999985,2.0704328708557127,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,37,0,148,3,,,,,590.7185777999985,591.706998900001,591.7057549399949,594.0539868000051,593.7226057999942,3.335054275703838,t,1,0.4744359999895096,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,37,1,149,0,,,,,594.0539868000051,595.0520182000037,595.0520824400053,596.2031843000004,597.0524944000063,2.1368984761698,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,37,2,150,2,,,,,597.0524944000063,598.0363120999973,598.036431639998,599.7189574000076,600.0360575999948,2.660810086763157,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,37,3,151,1,,,,,600.0360575999948,601.0358546000061,601.0351481400037,602.4523449999979,603.0357377000037,2.4124855983748343,None,1,,602.035781700004,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,38,0,152,2,,,,,603.0357377000037,604.0197113000031,604.0195923400067,607.3187996000051,606.0356964999955,4.279969845766024,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,38,1,153,1,,,,,607.3187996000051,608.3182449000014,608.3187845399996,609.5690532000008,610.319478999998,2.2500650317491973,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,38,2,154,3,,,,,610.319478999998,611.3022558999946,611.302612040007,613.9853294000059,613.3020439999964,3.655675802502403,t,1,0.45496339999954216,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,38,3,155,0,,,,,613.9853294000059,614.9690241000062,614.969843240008,618.8698510999966,616.969540200007,4.8825000109344625,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,39,0,156,3,,,,,618.8698510999966,619.8689405000041,619.8692676399994,623.1855719000014,621.8695079000026,4.302486003738295,t,1,0.5127154999936465,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,39,1,157,0,,,,,623.1855719000014,624.1857904000062,624.1855369400043,628.0185676999972,626.1855479000078,4.820429566897603,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,39,2,158,2,,,,,628.0185676999972,629.0029347999953,629.0042416399999,632.0015063000028,631.0020133000071,3.9712216743803577,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,39,3,159,1,,,,,632.0015063000028,633.0019683999999,633.002438640008,635.6030062000063,635.0028598000063,3.59808655926483,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,40,0,160,1,,,,,635.6030062000063,636.6029008000041,636.6021608400085,640.4076079000079,638.6023405000014,4.78603139114249,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,40,1,161,0,,,,,640.4076079000079,641.3854839999985,641.3857623400006,644.2357797000004,643.386926399995,3.8229304525019723,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,40,2,162,2,,,,,644.2357797000004,645.2352040999976,645.2348331400033,648.335839899999,647.2376256999996,4.092098275612162,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,40,3,163,3,,,,,648.335839899999,649.3353352999984,649.3357796399985,650.8020080999995,651.3357131999946,2.4659718595448648,t,1,0.5339787999982946,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,41,0,164,2,,,,,651.3357131999946,652.3365845999942,652.3356363399987,655.9527705000073,654.3355437999999,4.611307007597733,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,41,1,165,0,,,,,655.9527705000073,656.9519291000033,656.9512355399972,659.0235949000053,658.9766774000018,3.0320691468708447,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,41,2,166,3,,,,,659.0235949000053,659.9854295999976,659.9853885399978,662.0519463999954,661.9852124000026,3.0179885735147436,t,1,0.5321684999944409,660.9856033999968,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
