trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,response.rt,feedback_text.started,response.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,0,24,0,,,,,175.90720019995933,176.8884327999549,176.88698216999765,s,1,0.8452531999791972,,,,,,,177.8853244999773,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,1,25,3,,,,,179.903140099952,180.89888860000065,180.9018903699529,t,1,0.853933300008066,,183.90010849997634,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,2,26,3,,,,,183.91586959996494,184.89681419997942,184.89884866995854,t,1,0.8710059999721125,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,3,27,1,,,,,187.90901790000498,188.89164289995097,188.8933787699847,s,1,0.8234070999897085,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,0,28,0,,,,,191.90843199996743,192.88947939994978,192.888076169946,s,1,0.7927848999970593,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,1,29,0,,,,,195.9040344999521,196.88454759999877,196.8845468699641,s,1,0.690548500046134,,199.8811008000048,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,7,2,30,3,,,,,199.91688549995888,200.89947619999293,200.89875676995726,s,0,0.6519895000383258,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,3,31,0,,,,,203.91284579999046,204.89474979997613,204.89427547000233,s,1,1.0134129999787547,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,8,0,32,3,,,,,207.90673049999168,208.89243909996003,208.89144176996197,t,1,0.8341807999531738,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,1,33,1,,,,,211.90400310000405,212.88618949998636,212.88825776999002,s,1,0.8641887999838218,,215.89937939995434,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,2,34,0,,,,,215.91852769994875,216.9029053999693,216.89999347000267,s,1,0.7841676999814808,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,3,35,2,,,,,219.91435049998108,220.89759129995946,220.89585616998957,s,1,0.9814497999614105,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,0,36,1,,,,,223.91079029999673,224.89319249999244,224.89336966997362,s,1,0.7440679999999702,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,1,37,0,,,,,227.90754149999702,228.88803819997702,228.8899032699468,s,1,1.0066936999792233,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,2,38,0,,,,,231.9047889999929,232.8860022999579,232.8851564699493,s,1,0.912860999989789,,235.90022719994886,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,3,39,1,,,,,235.91440489998786,236.8976421999978,236.89720726997476,s,1,0.8789971999940462,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.91385739995167,242.89307950000511,242.92474629997741,,,,,,,
